日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-03-28,43.22,-0.09,-59012833.0,-3.53,-1038273.0,-0.06,-57974560.0,-3.47,-92531904.0,-5.54,151544736.0,9.07
2025-03-31,43.29,0.16,-186342264.0,-7.98,-70709560.0,-3.03,-115632704.0,-4.95,134240880.0,5.75,52101408.0,2.23
2025-04-01,42.87,-0.97,20390575.0,1.22,-22555393.0,-1.35,42945968.0,2.57,-43106080.0,-2.58,22715520.0,1.36
2025-04-02,42.73,-0.33,-32987243.0,-2.32,-27627675.0,-1.95,-5359568.0,-0.38,-28452384.0,-2.0,61439632.0,4.33
2025-04-03,42.65,-0.19,-42995271.0,-2.17,91232313.0,4.61,-134227584.0,-6.79,-91618288.0,-4.63,134613552.0,6.81
2025-04-07,40.83,-4.27,-699670928.0,-9.51,-279993728.0,-3.8,-419677200.0,-5.7,432877136.0,5.88,266793792.0,3.62
2025-04-08,41.15,0.78,-173839920.0,-2.65,70842464.0,1.08,-244682384.0,-3.73,330481504.0,5.04,-156641584.0,-2.39
2025-04-09,40.46,-1.68,-15889296.0,-0.4,-24926576.0,-0.63,9037280.0,0.23,23392656.0,0.59,-7503376.0,-0.19
2025-04-10,41.1,1.58,186259120.0,6.09,203210352.0,6.65,-16951232.0,-0.55,-240584960.0,-7.87,54325840.0,1.78
2025-04-11,41.51,1.0,189501840.0,7.88,99328064.0,4.13,90173776.0,3.75,-205570528.0,-8.55,16068688.0,0.67
2025-04-14,41.48,-0.07,183397744.0,9.14,52762176.0,2.63,130635568.0,6.51,-187874976.0,-9.36,4477232.0,0.22
2025-04-15,42.1,1.49,106841792.0,4.14,-16974976.0,-0.66,123816768.0,4.8,-72231360.0,-2.8,-34610432.0,-1.34
2025-04-16,42.25,0.36,-64218372.0,-2.65,-70149012.0,-2.89,5930640.0,0.24,70334832.0,2.9,-6116464.0,-0.25
2025-04-17,42.12,-0.31,77697803.0,4.54,54596987.0,3.19,23100816.0,1.35,40376592.0,2.36,-118074384.0,-6.9
2025-04-18,42.75,1.5,-5300591.0,-0.29,-61684975.0,-3.34,56384384.0,3.05,13477248.0,0.73,-8176672.0,-0.44
2025-04-21,42.28,-1.1,151557532.0,8.54,80745020.0,4.55,70812512.0,3.99,14839136.0,0.84,-166396672.0,-9.38
2025-04-22,42.01,-0.64,41825502.0,2.28,-809570.0,-0.04,42635072.0,2.33,-166544144.0,-9.09,124718656.0,6.81
2025-04-23,41.99,-0.05,-50465216.0,-2.57,-22545536.0,-1.15,-27919680.0,-1.42,-41504336.0,-2.11,91969552.0,4.68
2025-04-24,42.21,0.52,-204659408.0,-11.71,-7769328.0,-0.44,-196890080.0,-11.27,17405200.0,1.0,187254221.0,10.72
