日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,MA5,MA10,MA20,MA30,MA60,RSI6,RSI12,RSI24,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,资产总计,负债合计,归属于母公司股东权益合计,资产负债率,权益乘数,营业收入,净利润,营业总成本,营业利润,利润总额,净利润增长率,营收增长率,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,大单净流入-净额,中单净流入-净额,小单净流入-净额,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2025-01-15,-1.107245476235902,-1.0797039670750368,-1.1903182941499022,-1.0441065194868537,-0.6669147151070549,-0.8244722098616427,-0.8923651841337811,-0.04369590919164228,-0.6422135546710804,-1.2377244289621667,-1.2459223955298508,-0.9793183810405198,-0.964649844312206,-0.9276860896041069,1.2784638714862193,-0.9930669761035695,-0.38742328379826224,-0.6168799112752509,-0.5547461303524699,-0.30570259897165303,-0.975122929454934,-0.8174444104388113,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-0.23098374797456786,-0.6677230846925268,0.010833346539900037,-0.45118061582405794,0.23070545010230992,0.8130147738245083,-0.23098371910369256,-0.275910542467348,-0.793653726724728,0.24671997348368513,-0.23098371679385532
2025-01-16,-1.0532316301105704,-1.273841401784193,-1.1273139689148144,-1.1843189743754188,-0.20665801886658874,-0.40808423548026346,0.5909884649121498,-0.963736632806652,-0.205336307076737,-1.2339557323138943,-1.2794758966903288,-1.0214871967009675,-0.9788759723181688,-0.9432125544026078,0.1981407785896979,-1.1940822707638394,-1.0560054517059028,-0.63612352950149,-0.5810115040121815,-0.29069314509070887,-1.031389552252572,-0.840229378758123,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-0.28539821262492443,-0.4985436706273003,0.0008506069021202807,-0.5392016333920404,0.2855157075825316,-0.2857191437262336,-0.28539820560714174,-0.2795481993424989,-0.7936536622458424,-0.07101066068734828,-0.28539820275315964
2025-01-17,-1.2662776717563418,-1.208556936998511,-1.2966283218418588,-1.150219554474701,-0.6721297601355884,-0.8384718424709309,-0.8756041259524711,0.32960886454902094,-0.6422135546710804,-1.2042653700638555,-1.295801182574512,-1.0516351508446167,-0.9881341099046747,-0.9549595928150473,0.35316164384669424,-0.9896257808045682,-0.4610951532445594,-0.6193887095052203,-0.5984085012817271,-0.19351392796155992,-1.0691116875165323,-0.8586968405075636,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-0.0753326244158832,-0.30138970777963464,-0.09817025974955065,0.001063278993631168,0.07523588159350968,0.2819534405531682,-0.0753325873980912,-0.4154416758415695,-0.79365383148738,-0.08498007647604396,-0.0753325866447653
2025-01-20,-1.1535430586290434,-1.052170614542963,-1.0715793735145465,-1.0441843720437047,0.08700696118461136,-0.11296022989764874,-0.004029100524353527,0.783796339266828,0.08591519131949206,-1.155462331954725,-1.2677458764624354,-1.0712950490980047,-0.9945207089873681,-0.9645670320059758,0.89962325133251,-0.13003041644932092,-0.2835861126195556,-0.540455319506536,-0.5952737486200316,0.03147194282556677,-1.104719292032897,-0.8611689840241151,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,1.0778264492755185,1.5262808126730498,0.9638750300064167,0.6270144488992531,-1.0781401070097174,0.7153713667345938,1.077826450017563,0.6182749150386689,1.2495822679813797,0.5276392969261765,1.0778264392392984
2025-01-21,-0.9992177839852389,-1.1040393948087672,-1.1324731320233954,-1.0052580936182285,-0.7563237648740245,-0.9047953060716546,-0.7582767186833015,-0.2544575626993918,-0.7878393038691949,-1.1623504959967332,-1.2452129510074768,-1.095578355627086,-1.0021771916315076,-0.9762182674681963,0.604322418237166,-0.02484278707619905,-0.851831154488472,-0.4918725655944455,-0.5822703862863463,0.13961166535026018,-1.1513955061286827,-0.8618796587147645,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-0.005789327291464544,-0.15752059975566235,0.4484317957397228,-0.6644039231033992,0.005336045543942947,1.2684752812263846,-0.005789328197101454,0.45817027931318105,-0.7936536522726939,0.1909027114160348,-0.005789328139208144
2025-01-22,-1.1360271399569717,-1.3158044149917174,-1.2423007709257479,-1.2154599971157998,-0.09354948669217229,-0.3175267693329777,-0.012409629615008326,-1.0516187982914331,-0.05971055787862237,-1.2102826168131966,-1.2464222314433429,-1.1363226617106967,-1.0255470532995195,-0.9868747489640012,-0.5749033356501859,0.11868616379124278,-1.3579046155736525,-0.5276499689594188,-0.579596856681723,0.026417884040027692,-1.223374242188921,-0.8685823455669766,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-1.5274384992348284,-2.42612329387441,-0.8128523109458777,-1.6945943834013384,1.5277780095237592,-0.7200964420900452,-1.5274384691075427,-0.3843815438211083,-0.7936536585826857,-0.3458708944047193,-1.5274384538331578
2025-01-23,-1.2386534475951014,-1.3002047818290692,-1.2419099252357044,-1.2154599971157998,-0.1612871271183469,-0.374342513461698,0.021112486747611615,0.08190559280651838,-0.13252343247767967,-1.2156347994481382,-1.2472284184005857,-1.1725601860336814,-1.0452016475208625,-0.9972725624942198,-0.5008184170909711,0.15253507737569505,-1.1331813166491052,-0.5437575887103195,-0.5809378376453672,-0.017572918449315553,-1.2917391639814102,-0.8707636297657861,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-0.02877056660584887,-0.058943618331829484,0.49712111786694263,-0.7786765100866548,0.028422282998591678,0.9782450894519791,-0.028770585685188137,0.4306359072725398,-0.7936535372574164,-0.239618876817298,-0.028770585397482222
2025-01-24,-1.3001520695406577,-1.354803497898338,-1.3998897531514736,-1.2753286133341823,0.08410971394653717,-0.16133147178873253,-0.7079935441393715,-0.26806763257535343,0.08591519131949206,-1.2453251616981769,-1.2472284184005857,-1.2107928568107678,-1.075495806716504,-1.0081158597429467,-0.17775084626354568,-0.0196010208302366,-1.1515021824396874,-0.570624391761786,-0.5878147838978391,-0.07823574433241653,-1.3658718676196333,-0.8713229266413381,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,0.02574722956596245,0.05428669816851904,0.09679669587978287,-0.09252772135776535,-0.026089960103617,0.9545882352779326,0.02574723028416467,-0.12304060979532298,-0.7936536714035222,-0.1977686092218823,0.02574723002669234
2025-01-27,-1.3387333882016088,-1.3626813126454753,-1.4297503638708318,-1.3009421045381455,-0.03201195535547645,-0.27166754680378724,-0.7331351314113365,-0.03514100812675208,-0.05971055787862237,-1.3083637388274592,-1.2544760391462044,-1.2499377135449523,-1.09269357666018,-1.0200720679300257,-0.4860847514713299,-0.0661561293710991,-1.2477380343455324,-0.588074831671093,-0.5970862412844589,-0.10447467547222612,-1.4585681192662445,-0.8572941832197338,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,0.03663802354493889,0.05961518365088839,0.43148689187163086,-0.5597368909652466,-0.036999350450830144,1.0049811261994324,0.036638032331106025,0.7239970873105982,-0.7936537584704872,-0.6288538139301109,0.03663803196472564
2025-02-05,-1.3155845970050382,-1.6059575918169748,-1.4373327702576848,-1.4940942980853575,0.6286183598702009,0.29143981754330167,0.6580326976373898,-1.2087178905739624,0.5956053135128928,-1.4102610620695915,-1.3098610831088393,-1.3004203336362805,-1.1211572730645436,-1.0393156871969473,-1.6864823633695623,-0.4098247489760122,-1.7516255018804616,-0.6863211347344294,-0.6257280168673809,-0.3167336364187358,-1.5368848730921012,-0.8750454524440382,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-1.3688921539660701,-1.484313484865629,-0.21152509646214934,-2.2720450284266707,1.369397780238592,-1.2084053934373313,-1.3688921116230892,-0.2994121575847003,-0.793653669012722,-1.1932218307557663,-1.3688920979341679
2025-02-06,-1.6241579836553253,-1.535447249921805,-1.6015661292141572,-1.5112218605925674,-0.14790184487844413,-0.40108038853329214,-0.4062944968757923,0.3556624268830047,-0.13252343247767967,-1.4548520274541836,-1.3569665870205823,-1.3467210601160833,-1.1558445429592505,-1.0617128202418404,-1.2495007856388283,-0.38993386193675034,-1.5068098228533784,-0.7289490776361702,-0.6578505517845269,-0.35487562005059514,-1.652274195610315,-0.8534551099849759,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,0.2671299594806393,0.4326091674167424,0.37678260606374187,-0.04555101352052613,-0.2673840539974649,0.6703900242909843,0.2671299260931647,1.0119276563144812,1.2495825088964179,-0.45021329275551053,0.2671299234218654
2025-02-07,-1.5186766584362843,-1.354803497898338,-1.4398341826739656,-1.484751991263243,0.42494187903358516,0.1295196854912505,0.6077495230934599,0.9047315315932304,0.4499795643147782,-1.4659364293608637,-1.3653348076367706,-1.3683802700562584,-1.1877689580783761,-1.0794555266220283,-0.03152380761432459,-0.49318821295804477,-1.073878772044333,-0.6861698097050694,-0.6743067738115547,-0.18320496073462325,-1.7062105373403529,-0.8433918845732249,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,1.2233996929301831,1.5396020263789734,0.34374953423155497,1.8051104435298346,-1.2231392376383126,-0.9120053470288981,1.223399689631805,0.4459109352713923,1.249582272293958,0.06822512847089382,1.223399677397808
