datetime,open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率,MA5,MA10,MA20,MA30,MA60,RSI6,RSI12,RSI24,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower
2025-03-12 10:30:00,5.34,5.33,5.34,5.32,0.0,0.0,59485,31704586.0,0.38,0.01,5.336,5.333,5.332,5.328,5.327333333333333,50.0,37.5,53.33333333333334,0.002634915538715532,0.003006715168537116,-0.0003717996298215841,5.35102906364375,5.312970936356249
2025-03-12 10:35:00,5.33,5.33,5.34,5.33,0.0,0.0,36330,19377341.0,0.19,0.01,5.334,5.333,5.3325,5.328333333333333,5.327500000000001,0.0,50.0,50.0,0.002162958648380453,0.0028379638645057836,-0.0006750052161253305,5.350709309360006,5.314290690639993
2025-03-12 10:40:00,5.33,5.34,5.34,5.33,0.19,0.01,12422,6624339.0,0.19,0.0,5.334,5.335,5.333,5.329,5.327666666666667,50.0,50.0,53.33333333333334,0.002566263550273895,0.0027836238016594062,-0.00021736025138551114,5.351467610337533,5.314532389662467
2025-03-12 10:45:00,5.33,5.33,5.34,5.32,-0.19,-0.01,27050,14417898.0,0.37,0.01,5.332,5.334999999999999,5.3335,5.329666666666667,5.3276666666666666,33.33333333333333,50.0,50.0,0.002055277207879236,0.0026379544829033723,-0.0005826772750241365,5.351001879598309,5.315998120401691
2025-03-12 10:50:00,5.32,5.33,5.34,5.32,0.0,0.0,35789,19081890.0,0.38,0.01,5.332,5.335,5.334,5.330333333333333,5.327666666666667,33.33333333333333,60.0,53.33333333333334,0.0016315098204424672,0.0024366655504111916,-0.0008051557299687245,5.3504156536333625,5.317584346366637
2025-03-12 10:55:00,5.34,5.33,5.34,5.33,0.0,0.0,14806,7901229.0,0.19,0.0,5.332,5.3340000000000005,5.3345,5.331,5.327666666666667,50.0,50.0,53.33333333333334,0.0012809056300540078,0.002205513566339755,-0.0009246079362857473,5.349683093090325,5.319316906909675
2025-03-12 11:00:00,5.33,5.34,5.35,5.33,0.19,0.01,57007,30438429.0,0.38,0.01,5.3340000000000005,5.334,5.335,5.331666666666667,5.3276666666666666,66.66666666666666,60.0,53.33333333333334,0.0017893393198624707,0.0021222787170442985,-0.00033293939718182777,5.350217718205053,5.3197822817949465
2025-03-12 11:05:00,5.35,5.34,5.35,5.34,0.0,0.0,13739,7347472.0,0.19,0.0,5.3340000000000005,5.3340000000000005,5.3345,5.331999999999999,5.327833333333333,66.66666666666666,50.0,57.142857142857146,0.002167293472050247,0.0021312816680454883,3.601180400475846e-05,5.3482266548230655,5.320773345176935
2025-03-12 11:10:00,5.35,5.34,5.35,5.34,0.0,0.0,9721,5196024.0,0.19,0.0,5.336,5.334,5.3340000000000005,5.332333333333334,5.328,50.0,50.0,57.142857142857146,0.0024387128964473703,0.002192767913725865,0.0002459449827215054,5.345964860832323,5.322035139167678
2025-03-12 11:15:00,5.34,5.34,5.35,5.34,0.0,0.0,37209,19872569.0,0.19,0.01,5.338,5.335,5.3345,5.332666666666666,5.328166666666666,100.0,50.0,57.142857142857146,0.0026235718426681487,0.002278928699514322,0.00034464314315382685,5.3465961063765866,5.322403893623414
2025-03-12 11:20:00,5.34,5.34,5.35,5.34,0.0,0.0,10187,5443270.0,0.19,0.0,5.34,5.336,5.3345,5.333333333333333,5.328166666666666,100.0,50.0,53.84615384615384,0.0027385060957731966,0.002370844178766097,0.0003676619170070996,5.3465961063765866,5.322403893623414
2025-03-12 11:25:00,5.34,5.35,5.35,5.34,0.19,0.01,10933,5841632.0,0.19,0.0,5.342,5.337999999999999,5.335500000000001,5.334333333333333,5.328500000000001,100.0,75.0,50.0,0.003595067050818912,0.00261568875317666,0.000979378297642252,5.349226654823066,5.321773345176935
2025-03-12 11:30:00,5.34,5.35,5.35,5.34,0.0,0.0,10538,5631441.0,0.19,0.0,5.343999999999999,5.339,5.337,5.334999999999999,5.328666666666666,100.0,75.0,50.0,0.004225192391086985,0.0029375894807587254,0.0012876029103282595,5.350138933706634,5.323861066293365
2025-03-12 13:05:00,5.35,5.35,5.35,5.34,0.0,0.0,18394,9831549.0,0.19,0.0,5.345999999999999,5.341,5.337999999999999,5.336,5.329,100.0,75.0,60.0,0.0046707299951025405,0.0032842175836274887,0.0013865124114750518,5.351917047478767,5.324082952521231
2025-03-12 13:10:00,5.34,5.34,5.35,5.34,-0.19,-0.01,9030,4825911.0,0.19,0.0,5.345999999999999,5.342,5.3385,5.336666666666668,5.329,50.0,50.0,50.0,0.004168849428503485,0.003461143952602688,0.000707705475900797,5.351916407864997,5.325083592135003
2025-03-12 13:15:00,5.35,5.35,5.35,5.34,0.19,0.01,9269,4954525.0,0.19,0.0,5.348,5.343999999999999,5.3389999999999995,5.337666666666666,5.3293333333333335,66.66666666666666,75.0,60.0,0.004525850700501266,0.0036740853021824038,0.0008517653983188623,5.35336369692919,5.324636303070809
2025-03-12 13:20:00,5.35,5.34,5.35,5.34,-0.19,-0.01,13346,7131137.0,0.19,0.0,5.346,5.343999999999999,5.339,5.338,5.3294999999999995,50.0,60.0,60.0,0.003956255107901541,0.0037305192633262313,0.00022573584457530934,5.353363696929191,5.32463630307081
2025-03-12 13:25:00,5.34,5.37,5.37,5.34,0.56,0.03,135805,72724980.0,0.56,0.03,5.35,5.3469999999999995,5.3405000000000005,5.338666666666667,5.330333333333333,66.66666666666717,75.00000000000028,66.66666666666691,0.005858067619592511,0.0041560289345794876,0.0017020386850130232,5.360473666874688,5.320526333125313
2025-03-12 13:30:00,5.37,5.36,5.37,5.35,-0.19,-0.01,34018,18221352.0,0.37,0.01,5.352,5.349,5.3415,5.3389999999999995,5.3308333333333335,57.142857142857686,62.50000000000042,61.538461538461796,0.006483612264140959,0.004621545600491782,0.0018620666636491772,5.3632884566251295,5.31971154337487
2025-03-12 13:35:00,5.36,5.36,5.37,5.35,0.0,0.0,40652,21783704.0,0.37,0.01,5.356,5.351,5.343,5.34,5.3315,57.142857142857686,62.50000000000042,58.33333333333364,0.006899824025378365,0.005077201285469099,0.001822622739909266,5.365571523745871,5.320428476254129
2025-03-12 13:40:00,5.36,5.37,5.37,5.36,0.19,0.01,32505,17443449.0,0.19,0.01,5.36,5.354,5.345000000000001,5.340999999999999,5.3325000000000005,71.42857142857179,66.666666666667,61.538461538461796,0.007945006185602566,0.005650762265495792,0.0022942439201067734,5.369708830724851,5.3202911692751504
2025-03-12 13:45:00,5.37,5.35,5.37,5.35,-0.37,-0.02,38837,20817493.0,0.37,0.01,5.362,5.354,5.346,5.341666666666667,5.332999999999999,50.0,54.545454545454476,53.33333333333329,0.007077898120984472,0.005936189436593528,0.0011417086843909432,5.369753116139059,5.322246883860942
2025-03-12 13:50:00,5.36,5.36,5.36,5.35,0.19,0.01,11104,5945057.0,0.19,0.0,5.359999999999999,5.3549999999999995,5.3469999999999995,5.343,5.333666666666667,62.500000000000135,58.33333333333351,56.25000000000017,0.007115600940774236,0.006172071737429671,0.0009435292033445654,5.371365635853104,5.322634364146895
2025-03-12 13:55:00,5.36,5.36,5.36,5.35,0.0,0.0,14229,7621338.0,0.19,0.0,5.36,5.356,5.3485,5.344,5.334333333333333,40.000000000000355,54.545454545454845,60.00000000000012,0.0070640507176378264,0.006350467533471302,0.0007135831841665243,5.372142067769567,5.324857932230432
2025-03-12 14:00:00,5.36,5.37,5.37,5.35,0.19,0.01,41580,22283189.0,0.37,0.01,5.362,5.359,5.3505,5.345333333333333,5.335,59.999999999999645,58.33333333333351,62.500000000000064,0.007740881161418578,0.006628550259060758,0.0011123309023578203,5.3743194966582495,5.326680503341751
2025-03-12 14:05:00,5.37,5.36,5.37,5.36,-0.19,-0.01,10969,5885149.0,0.19,0.0,5.36,5.36,5.352,5.346,5.335666666666667,50.0,53.84615384615412,58.82352941176483,0.007385225455989186,0.006779885298446444,0.0006053401575427421,5.374100250058117,5.329899749941884
2025-03-12 14:10:00,5.37,5.37,5.37,5.36,0.19,0.01,22679,12163428.0,0.19,0.01,5.364,5.363,5.3535,5.3469999999999995,5.3365,50.0,61.53846153846164,58.82352941176483,0.007820136507792341,0.006987935540315624,0.0008322009674767176,5.376234161635364,5.330765838364637
2025-03-12 14:15:00,5.37,5.37,5.37,5.36,0.0,0.0,49717,26687747.0,0.19,0.01,5.3660000000000005,5.363,5.3549999999999995,5.348,5.3373333333333335,75.00000000000055,58.33333333333351,62.500000000000064,0.008071760420084395,0.0072047005162693785,0.0008670599038150166,5.377941573387048,5.332058426612951
2025-03-12 14:20:00,5.36,5.36,5.37,5.36,-0.19,-0.01,13987,7501732.0,0.19,0.0,5.366,5.363,5.356,5.348666666666667,5.338166666666667,50.0,58.33333333333351,58.82352941176483,0.007379194990454252,0.007239599411106354,0.00013959557934789795,5.377908902300198,5.334091097699802
2025-03-12 14:25:00,5.36,5.36,5.37,5.35,0.0,0.0,64663,34662916.0,0.37,0.02,5.364000000000001,5.363,5.357,5.349666666666667,5.338666666666667,50.0,44.44444444444455,58.82352941176483,0.006752493357661926,0.007142178200417469,-0.0003896848427555428,5.377621909656828,5.336378090343173
2025-03-12 14:30:00,5.36,5.36,5.36,5.35,0.0,0.0,26856,14372822.0,0.19,0.01,5.364,5.362,5.358,5.350666666666666,5.339333333333333,33.33333333333333,50.0,56.25000000000017,0.00618453631364968,0.006950649823063912,-0.0007661135094142318,5.3770290636437394,5.33897093635626
2025-03-12 14:35:00,5.36,5.36,5.36,5.35,0.0,0.0,57695,30909854.0,0.19,0.01,5.362,5.363,5.3585,5.3516666666666675,5.34,50.0,50.0,56.25000000000017,0.005669076677301987,0.0066943351939115275,-0.0010252585166095401,5.377166040089724,5.339833959910276
2025-03-12 14:40:00,5.35,5.37,5.37,5.35,0.19,0.01,41088,22040620.0,0.37,0.01,5.362,5.364,5.3595,5.352666666666667,5.340833333333333,50.0,50.0,58.82352941176483,0.005998342470165063,0.006555136649162235,-0.0005567941789971715,5.378390264827756,5.340609735172244
2025-03-12 14:45:00,5.36,5.37,5.37,5.36,0.0,0.0,13791,7397789.0,0.19,0.0,5.364000000000001,5.365,5.3605,5.353999999999999,5.341833333333333,50.0,66.66666666666717,58.82352941176483,0.006187957066053684,0.006481700732540526,-0.00029374366648684137,5.379390264827755,5.341609735172245
2025-03-12 14:50:00,5.37,5.36,5.37,5.35,-0.19,-0.01,30894,16558137.0,0.37,0.01,5.364,5.364,5.3615,5.355,5.342666666666667,50.0,50.0,55.55555555555572,0.005468276683162188,0.006279015922664858,-0.0008107392395026707,5.377754554017732,5.345245445982269
2025-03-12 14:55:00,5.35,5.35,5.36,5.35,-0.19,-0.01,33102,17721257.0,0.19,0.01,5.362,5.363,5.3615,5.355666666666666,5.343333333333334,33.33333333333235,42.857142857142314,50.0,0.004044387190205612,0.005832090176173009,-0.0017877029859673975,5.377754554017732,5.345245445982269
2025-03-12 15:00:00,5.36,5.35,5.36,5.35,0.0,0.0,37141,19878139.0,0.19,0.01,5.36,5.361,5.362,5.355999999999999,5.343833333333333,33.33333333333235,33.333333333332845,50.0,0.002882714371619244,0.0052422150152622565,-0.0023595006436430126,5.375917047478753,5.348082952521247
