datetime,open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率
2025-03-18 14:30:00,5.57,5.56,5.57,5.56,0.0,0.0,8005,4454400.0,0.18,0.0
2025-03-18 14:35:00,5.56,5.56,5.57,5.55,0.0,0.0,35847,19930799.0,0.36,0.01
2025-03-18 14:40:00,5.56,5.56,5.57,5.55,0.0,0.0,9868,5486831.0,0.36,0.0
2025-03-18 14:45:00,5.56,5.56,5.57,5.56,0.0,0.0,11119,6184464.0,0.18,0.0
2025-03-18 14:50:00,5.56,5.57,5.57,5.56,0.18,0.01,8948,4977665.0,0.18,0.0
2025-03-18 14:55:00,5.57,5.57,5.57,5.56,0.0,0.0,22115,12301069.0,0.18,0.0
2025-03-18 15:00:00,5.56,5.55,5.57,5.55,-0.36,-0.02,45074,25036156.0,0.36,0.01
2025-03-19 09:35:00,5.56,5.55,5.57,5.54,0.0,0.0,41663,23136872.0,0.54,0.01
2025-03-19 09:40:00,5.55,5.55,5.56,5.54,0.0,0.0,13031,7231957.0,0.36,0.0
2025-03-19 09:45:00,5.54,5.57,5.57,5.54,0.36,0.02,24750,13754628.0,0.54,0.01
2025-03-19 09:50:00,5.57,5.57,5.58,5.56,0.0,0.0,25628,14272119.0,0.36,0.01
2025-03-19 09:55:00,5.56,5.56,5.57,5.55,-0.18,-0.01,13196,7333703.0,0.36,0.0
2025-03-19 10:00:00,5.56,5.56,5.56,5.55,0.0,0.0,8983,4989664.0,0.18,0.0
2025-03-19 10:05:00,5.55,5.57,5.57,5.55,0.18,0.01,13442,7472851.0,0.36,0.0
2025-03-19 10:10:00,5.56,5.57,5.57,5.56,0.0,0.0,4821,2681537.0,0.18,0.0
2025-03-19 10:15:00,5.57,5.56,5.57,5.55,-0.18,-0.01,24198,13460817.0,0.36,0.0
2025-03-19 10:20:00,5.57,5.57,5.57,5.56,0.18,0.01,8311,4622251.0,0.18,0.0
2025-03-19 10:25:00,5.56,5.56,5.57,5.56,-0.18,-0.01,5543,3083098.0,0.18,0.0
2025-03-19 10:30:00,5.57,5.56,5.57,5.56,0.0,0.0,7781,4327490.0,0.18,0.0
2025-03-19 10:35:00,5.57,5.55,5.57,5.55,-0.18,-0.01,24033,13358081.0,0.36,0.0
2025-03-19 10:40:00,5.55,5.56,5.56,5.55,0.18,0.01,19726,10949941.0,0.18,0.0
2025-03-19 10:45:00,5.55,5.55,5.56,5.55,-0.18,-0.01,6109,3392341.0,0.18,0.0
2025-03-19 10:50:00,5.55,5.57,5.57,5.55,0.36,0.02,27865,15485849.0,0.36,0.01
2025-03-19 10:55:00,5.56,5.56,5.56,5.55,-0.18,-0.01,10847,6028681.0,0.18,0.0
2025-03-19 11:00:00,5.55,5.56,5.56,5.55,0.0,0.0,8289,4607050.0,0.18,0.0
2025-03-19 11:05:00,5.56,5.57,5.57,5.55,0.18,0.01,9739,5418390.0,0.36,0.0
2025-03-19 11:10:00,5.56,5.57,5.57,5.56,0.0,0.0,8601,4788602.0,0.18,0.0
2025-03-19 11:15:00,5.57,5.56,5.57,5.56,-0.18,-0.01,3874,2156273.0,0.18,0.0
2025-03-19 11:20:00,5.57,5.57,5.57,5.56,0.18,0.01,4611,2566352.0,0.18,0.0
2025-03-19 11:25:00,5.56,5.56,5.57,5.56,-0.18,-0.01,6043,3361935.0,0.18,0.0
2025-03-19 11:30:00,5.57,5.56,5.57,5.55,0.0,0.0,14491,8055338.0,0.36,0.0
2025-03-19 13:05:00,5.57,5.56,5.57,5.56,0.0,0.0,4668,2597875.0,0.18,0.0
2025-03-19 13:10:00,5.57,5.57,5.57,5.56,0.18,0.01,4838,2693139.0,0.18,0.0
2025-03-19 13:15:00,5.57,5.57,5.58,5.57,0.0,0.0,29456,16412096.0,0.18,0.01
2025-03-19 13:20:00,5.58,5.57,5.58,5.56,0.0,0.0,20382,11359157.0,0.36,0.0
2025-03-19 13:25:00,5.58,5.57,5.58,5.56,0.0,0.0,10957,6101776.0,0.36,0.0
2025-03-19 13:30:00,5.57,5.56,5.57,5.56,-0.18,-0.01,4401,2448609.0,0.18,0.0
2025-03-19 13:35:00,5.56,5.56,5.57,5.56,0.0,0.0,7970,4432761.0,0.18,0.0
2025-03-19 13:40:00,5.56,5.56,5.57,5.55,0.0,0.0,28580,15888130.0,0.36,0.01
2025-03-19 13:45:00,5.57,5.56,5.57,5.56,0.0,0.0,5679,3158285.0,0.18,0.0
2025-03-19 13:50:00,5.57,5.56,5.57,5.56,0.0,0.0,5391,2998320.0,0.18,0.0
2025-03-19 13:55:00,5.57,5.57,5.57,5.56,0.18,0.01,6155,3424564.0,0.18,0.0
2025-03-19 14:00:00,5.56,5.56,5.57,5.56,-0.18,-0.01,7187,3998561.0,0.18,0.0
2025-03-19 14:05:00,5.56,5.56,5.57,5.56,0.0,0.0,7079,3938676.0,0.18,0.0
2025-03-19 14:10:00,5.57,5.56,5.57,5.56,0.0,0.0,8631,4802443.0,0.18,0.0
2025-03-19 14:15:00,5.57,5.56,5.57,5.56,0.0,0.0,8721,4855953.0,0.18,0.0
2025-03-19 14:20:00,5.57,5.57,5.58,5.56,0.18,0.01,30897,17204929.0,0.36,0.01
2025-03-19 14:25:00,5.57,5.57,5.58,5.56,0.0,0.0,16852,9392131.0,0.36,0.0
2025-03-19 14:30:00,5.58,5.57,5.58,5.57,0.0,0.0,7041,3926194.0,0.18,0.0
2025-03-19 14:35:00,5.57,5.57,5.58,5.57,0.0,0.0,34784,19393749.0,0.18,0.01
2025-03-19 14:40:00,5.58,5.58,5.58,5.57,0.18,0.01,12179,6791678.0,0.18,0.0
2025-03-19 14:45:00,5.57,5.58,5.59,5.57,0.0,0.0,35335,19713798.0,0.36,0.01
2025-03-19 14:50:00,5.58,5.58,5.59,5.57,0.0,0.0,20613,11501309.0,0.36,0.0
2025-03-19 14:55:00,5.58,5.58,5.58,5.57,0.0,0.0,20939,11669238.0,0.18,0.0
2025-03-19 15:00:00,5.57,5.57,5.58,5.57,-0.18,-0.01,17266,9617469.0,0.18,0.0
2025-03-20 09:35:00,5.57,5.57,5.59,5.56,0.0,0.0,57099,31818969.0,0.54,0.01
2025-03-20 09:40:00,5.56,5.55,5.57,5.55,-0.36,-0.02,24865,13818094.0,0.36,0.01
2025-03-20 09:45:00,5.55,5.56,5.56,5.55,0.18,0.01,20884,11598181.0,0.18,0.0
2025-03-20 09:50:00,5.56,5.56,5.56,5.54,0.0,0.0,65868,36557749.0,0.36,0.01
2025-03-20 09:55:00,5.56,5.55,5.56,5.55,-0.18,-0.01,15749,8744650.0,0.18,0.0
2025-03-20 10:00:00,5.56,5.55,5.56,5.55,0.0,0.0,13628,7565756.0,0.18,0.0
2025-03-20 10:05:00,5.56,5.57,5.57,5.54,0.36,0.02,52468,29141083.0,0.54,0.01
2025-03-20 10:10:00,5.57,5.56,5.57,5.56,-0.18,-0.01,7286,4052534.0,0.18,0.0
2025-03-20 10:15:00,5.57,5.56,5.57,5.55,0.0,0.0,16621,9240078.0,0.36,0.0
2025-03-20 10:20:00,5.56,5.56,5.56,5.55,0.0,0.0,9810,5445703.0,0.18,0.0
2025-03-20 10:25:00,5.55,5.56,5.56,5.55,0.0,0.0,9269,5146497.0,0.18,0.0
2025-03-20 10:30:00,5.55,5.55,5.56,5.55,-0.18,-0.01,14095,7824109.0,0.18,0.0
2025-03-20 10:35:00,5.56,5.55,5.56,5.55,0.0,0.0,18986,10538089.0,0.18,0.0
2025-03-20 10:40:00,5.55,5.55,5.56,5.55,0.0,0.0,28402,15778101.0,0.18,0.01
2025-03-20 10:45:00,5.55,5.56,5.56,5.55,0.18,0.01,12585,6987305.0,0.18,0.0
2025-03-20 10:50:00,5.55,5.55,5.56,5.54,-0.18,-0.01,19580,10866451.0,0.36,0.0
2025-03-20 10:55:00,5.56,5.55,5.56,5.54,0.0,0.0,14044,7794808.0,0.36,0.0
2025-03-20 11:00:00,5.56,5.56,5.56,5.55,0.18,0.01,4800,2665607.0,0.18,0.0
2025-03-20 11:05:00,5.56,5.55,5.56,5.55,-0.18,-0.01,5958,3307600.0,0.18,0.0
2025-03-20 11:10:00,5.55,5.56,5.56,5.55,0.18,0.01,6845,3801868.0,0.18,0.0
2025-03-20 11:15:00,5.56,5.56,5.57,5.55,0.0,0.0,21955,12208682.0,0.36,0.0
2025-03-20 11:20:00,5.57,5.56,5.57,5.56,0.0,0.0,30900,17207212.0,0.18,0.01
2025-03-20 11:25:00,5.57,5.56,5.57,5.56,0.0,0.0,6840,3806431.0,0.18,0.0
2025-03-20 11:30:00,5.56,5.57,5.57,5.56,0.18,0.01,5467,3042713.0,0.18,0.0
2025-03-20 13:05:00,5.56,5.56,5.57,5.56,-0.18,-0.01,6957,3871569.0,0.18,0.0
2025-03-20 13:10:00,5.56,5.58,5.58,5.56,0.36,0.02,13911,7748454.0,0.36,0.0
2025-03-20 13:15:00,5.58,5.57,5.58,5.56,-0.18,-0.01,13672,7618355.0,0.36,0.0
2025-03-20 13:20:00,5.57,5.57,5.58,5.57,0.0,0.0,5811,3238941.0,0.18,0.0
2025-03-20 13:25:00,5.57,5.58,5.58,5.57,0.18,0.01,4339,2419116.0,0.18,0.0
2025-03-20 13:30:00,5.58,5.58,5.58,5.57,0.0,0.0,7516,4190624.0,0.18,0.0
2025-03-20 13:35:00,5.58,5.57,5.58,5.56,-0.18,-0.01,11143,6206973.0,0.36,0.0
2025-03-20 13:40:00,5.57,5.57,5.57,5.56,0.0,0.0,5036,2802437.0,0.18,0.0
2025-03-20 13:45:00,5.57,5.58,5.58,5.56,0.18,0.01,11984,6672904.0,0.36,0.0
2025-03-20 13:50:00,5.58,5.58,5.58,5.57,0.0,0.0,13662,7616007.0,0.18,0.0
2025-03-20 13:55:00,5.58,5.57,5.58,5.56,-0.18,-0.01,20269,11290915.0,0.36,0.0
2025-03-20 14:00:00,5.57,5.57,5.58,5.56,0.0,0.0,8946,4983791.0,0.36,0.0
2025-03-20 14:05:00,5.56,5.56,5.58,5.56,-0.18,-0.01,5709,3178061.0,0.36,0.0
2025-03-20 14:10:00,5.56,5.57,5.57,5.56,0.18,0.01,6228,3465724.0,0.18,0.0
2025-03-20 14:15:00,5.56,5.57,5.57,5.56,0.0,0.0,3772,2098058.0,0.18,0.0
2025-03-20 14:20:00,5.57,5.56,5.57,5.56,-0.18,-0.01,19791,11002879.0,0.18,0.0
2025-03-20 14:25:00,5.56,5.56,5.57,5.55,0.0,0.0,12368,6875698.0,0.36,0.0
2025-03-20 14:30:00,5.56,5.56,5.56,5.55,0.0,0.0,4003,2223156.0,0.18,0.0
2025-03-20 14:35:00,5.56,5.56,5.57,5.55,0.0,0.0,13688,7611652.0,0.36,0.0
2025-03-20 14:40:00,5.56,5.56,5.57,5.55,0.0,0.0,9642,5362883.0,0.36,0.0
2025-03-20 14:45:00,5.55,5.56,5.57,5.55,0.0,0.0,13988,7777166.0,0.36,0.0
2025-03-20 14:50:00,5.56,5.56,5.57,5.55,0.0,0.0,12824,7127902.0,0.36,0.0
2025-03-20 14:55:00,5.56,5.56,5.57,5.55,0.0,0.0,20101,11173785.0,0.36,0.0
