序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
2664,688435,英方软件,29.0,-2.78,-2716414.0,-8.82,-425228.0,-1.38,-2291186.0,-7.44,1986417.0,6.45,729997.0,2.37
2665,300036,超图软件,13.81,-2.2,-2717141.0,-3.32,1163944.0,1.42,-3881085.0,-4.74,-2136930.0,-2.61,4854071.0,5.93
2666,600378,昊华科技,26.3,-0.11,-2721316.0,-9.02,-388991.0,-1.29,-2332325.0,-7.73,1393566.0,4.62,1327750.0,4.4
2667,002546,新联电子,4.5,-0.22,-2727898.0,-5.02,466951.0,0.86,-3194849.0,-5.88,-753218.0,-1.39,3481116.0,6.41
2668,002640,跨境通,3.98,-7.01,-2734797.0,-0.18,24724126.0,1.63,-27458923.0,-1.81,-33475168.0,-2.21,36209984.0,2.39
2669,300916,朗特智能,27.9,-1.06,-2738299.0,-6.59,-3262291.0,-7.86,523992.0,1.26,2696939.0,6.49,41360.0,0.1
2670,301066,万事利,14.23,-1.86,-2739037.0,-2.34,-906882.0,-0.78,-1832155.0,-1.57,-5800676.0,-4.97,8539713.0,7.31
2671,600428,中远海特,5.91,-1.01,-2746886.0,-2.62,-1702823.0,-1.62,-1044063.0,-1.0,9075465.0,8.66,-6328579.0,-6.04
2672,002172,澳洋健康,3.52,-0.56,-2747689.0,-1.64,2626792.0,1.56,-5374481.0,-3.2,250559.0,0.15,2497130.0,1.49
2673,002386,天原股份,4.32,-2.7,-2748734.0,-2.2,-1308350.0,-1.05,-1440384.0,-1.15,14900723.0,11.94,-12151990.0,-9.74
2674,600389,江山股份,16.16,1.13,-2748746.0,-1.76,205370.0,0.13,-2954116.0,-1.89,9217010.0,5.9,-6468263.0,-4.14
2675,002216,三全食品,11.74,0.17,-2748835.0,-2.95,-142413.0,-0.15,-2606422.0,-2.8,-3039431.0,-3.26,5788266.0,6.21
2676,300771,智莱科技,9.97,-2.16,-2754393.0,-5.73,0.0,0.0,-2754393.0,-5.73,-1506734.0,-3.14,4261127.0,8.87
2677,688655,迅捷兴,12.0,-4.15,-2759233.0,-6.35,-1549581.0,-3.56,-1209652.0,-2.78,2349127.0,5.4,410106.0,0.94
2678,603798,康普顿,8.84,-0.34,-2760822.0,-10.32,-1115148.0,-4.17,-1645674.0,-6.15,-1576118.0,-5.89,4336940.0,16.21
2679,300981,中红医疗,11.81,0.34,-2766028.0,-3.5,-3529506.0,-4.46,763478.0,0.97,3086172.0,3.9,-320144.0,-0.4
2680,300548,博创科技,34.17,-2.79,-2771639.0,-0.47,-22725396.0,-3.82,19953757.0,3.35,12956761.0,2.18,-10185122.0,-1.71
2681,688488,艾迪药业,10.75,2.77,-2774808.0,-2.47,2772421.0,2.47,-5547229.0,-4.93,16150941.0,14.37,-13376132.0,-11.9
2682,300455,航天智装,11.91,-1.33,-2775353.0,-1.72,1882332.0,1.17,-4657685.0,-2.89,15025334.0,9.31,-12249981.0,-7.59
2683,300649,杭州园林,10.61,-1.39,-2788090.0,-7.07,0.0,0.0,-2788090.0,-7.07,-1981501.0,-5.02,4769591.0,12.09
2684,301281,科源制药,30.84,0.23,-2791292.0,-5.8,-1280084.0,-2.66,-1511208.0,-3.14,-2108433.0,-4.38,4899725.0,10.19
2685,600796,钱江生化,5.45,-0.37,-2795654.0,-10.32,-568190.0,-2.1,-2227464.0,-8.23,39978.0,0.15,2755676.0,10.18
2686,600408,安泰集团,1.68,-0.59,-2797852.0,-8.87,-855866.0,-2.71,-1941986.0,-6.16,2447636.0,7.76,350216.0,1.11
2687,301112,信邦智能,24.94,0.52,-2804524.0,-3.0,0.0,0.0,-2804524.0,-3.0,9395981.0,10.04,-6591457.0,-7.04
2688,002577,雷柏科技,19.39,-2.32,-2815692.0,-3.02,2293715.0,2.46,-5109407.0,-5.47,-4803398.0,-5.15,7619090.0,8.16
2689,688196,卓越新能,40.88,-0.41,-2816382.0,-8.54,-436797.0,-1.32,-2379585.0,-7.22,848541.0,2.57,1967841.0,5.97
2690,301288,清研环境,10.52,-2.59,-2818751.0,-12.07,0.0,0.0,-2818751.0,-12.07,-1855630.0,-7.94,4674381.0,20.01
