日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2025-02-06,5.3,-0.38,1877178.0,0.22,30780225.0,3.56,-28903047.0,-3.34,-17620405.0,-2.04,15743228.0,1.82,1877179.0,17.397063892139535,1.9999989345704379,16282705.2,0.2338684951843126
2025-02-07,5.28,-0.38,-45600086.0,-4.3,-53214738.0,-5.02,7614652.0,0.72,26296240.0,2.48,19303834.0,1.82,-45600098.0,-2.166987097264524,-1.999999473685298,3511757.0,-0.3932341778333003
2025-02-10,5.27,-0.19,-45596496.0,-5.63,-45361249.0,-5.6,-235247.0,-0.03,56647647.0,6.99,-11051151.0,-1.36,-45596496.0,-1.994840678108204,-1.9999999999999563,-9782557.8,-0.3931866008876341
2025-02-11,5.38,2.09,38293134.0,3.45,26329630.0,2.37,11963504.0,1.08,-36431839.0,-3.28,-1861292.0,-0.17,38293137.0,1.687580832043045,1.9999998433139077,-13805182.8,0.7148679552480632
2025-02-12,5.4,0.37,-13745925.0,-1.69,-44164871.0,-5.44,30418946.0,3.75,-8380556.0,-1.03,22126481.0,2.73,-13745925.0,-4.212942817598363,-1.9999999999998546,-12954440.6,0.02751103539924195
2025-02-13,5.41,0.19,-40076651.0,-5.0,-22430625.0,-2.8,-17646026.0,-2.2,-9118740.0,-1.14,49195390.0,6.14,-40076652.0,-1.5596930601887213,-1.9999999500955818,-21345206.8,-0.3202778507282634
2025-02-14,5.41,0.0,-35478831.0,-4.37,-42895758.0,-5.28,7416927.0,0.91,19121545.0,2.36,16357286.0,2.01,-35478831.0,-2.2090521810033086,-1.9999999999999438,-19320953.4,-0.2595476231047097
2025-02-17,5.44,0.55,-13792058.0,-1.68,12227873.0,1.49,-26019931.0,-3.17,16972641.0,2.07,-3180583.0,-0.39,-13792058.0,-0.11341200856318082,-1.999999999999855,-12960065.8,0.026901688582356864
2025-02-18,5.56,2.21,108228003.0,7.86,130635971.0,9.49,-22407968.0,-1.63,-52186672.0,-3.79,-56041328.0,-4.07,108228006.0,2.207044025185106,1.999999944561466,1026908.0,1.6386012874489937
2025-02-19,5.53,-0.54,3480304.0,0.36,-19248057.0,-2.0,22728361.0,2.36,13729770.0,1.43,-17210068.0,-1.79,3480310.0,-4.530559921385012,1.9999965520307101,4472155.0,0.2550434192495112
2025-02-20,5.55,0.36,-25692145.0,-3.18,-43520841.0,-5.38,17828696.0,2.2,-19647662.0,-2.43,45339806.0,5.61,-25692146.0,-2.693935570815973,-1.999999922155121,7349056.2,-0.13028038809707904
2025-02-21,5.46,-1.62,-168443152.0,-12.52,-147913552.0,-11.0,-20529600.0,-1.53,37904320.0,2.82,130538845.0,9.7,-168443139.0,-1.8781216372368725,-2.0000001543547463,-19243805.4,-2.015804052106254
2025-02-24,5.41,-0.92,-91515360.0,-7.1,-83569216.0,-6.48,-7946144.0,-0.62,75017056.0,5.82,16498295.0,1.28,-91515369.0,-1.9131712838310042,-1.999999803311704,-34788467.6,-0.9997051255337778
