序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
4428,600576,祥源文旅,9.98,0.0,-7849908.0,-7.55,-2182323.0,-2.1,-5667585.0,-5.45,-674703.0,-0.65,8524610.0,8.2
4429,002793,罗欣药业,4.3,1.42,-7850918.0,-7.56,3560857.0,3.43,-11411775.0,-11.0,-3976358.0,-3.83,11827276.0,11.4
4430,300863,卡倍亿,44.29,-1.25,-7853147.0,-6.45,-1348896.0,-1.11,-6504251.0,-5.34,5867535.0,4.82,1985612.0,1.63
4431,600739,辽宁成大,9.82,1.03,-7853543.0,-8.79,-1223914.0,-1.37,-6629629.0,-7.42,3067912.0,3.43,4785630.0,5.36
4432,688196,卓越新能,43.1,-0.9,-7866051.0,-11.77,-1111289.0,-1.66,-6754762.0,-10.11,3382732.0,5.06,4483319.0,6.71
4433,600618,氯碱化工,9.21,0.22,-7876509.0,-11.5,-1596694.0,-2.33,-6279815.0,-9.17,4469795.0,6.53,3406713.0,4.98
4434,002657,中科金财,18.24,3.93,-7878002.0,-2.39,2985494.0,0.91,-10863496.0,-3.29,-14819779.0,-4.49,22697781.0,6.88
4435,688118,普元信息,24.25,5.9,-7881040.0,-7.66,-968402.0,-0.94,-6912638.0,-6.72,1299240.0,1.26,6581800.0,6.4
4436,002702,海欣食品,4.2,0.48,-7884830.0,-3.98,-5555644.0,-2.8,-2329186.0,-1.17,-17830256.0,-8.99,25715086.0,12.97
4437,688779,五矿新能,4.66,0.22,-7886116.0,-13.01,-2177603.0,-3.59,-5708513.0,-9.42,529572.0,0.87,7356544.0,12.14
4438,002800,天顺股份,11.43,0.35,-7888207.0,-7.7,-2311646.0,-2.26,-5576561.0,-5.44,-2045809.0,-2.0,9934017.0,9.69
4439,301665,泰禾股份,27.67,0.4,-7899945.0,-3.82,-4467105.0,-2.16,-3432840.0,-1.66,-8360377.0,-4.04,16260322.0,7.87
4440,300551,古鳌科技,8.32,2.09,-7900582.0,-10.64,-1171780.0,-1.58,-6728802.0,-9.06,3684568.0,4.96,4216014.0,5.68
4441,600543,莫高股份,4.96,-2.75,-7909370.0,-8.57,-5886053.0,-6.38,-2023317.0,-2.19,4845763.0,5.25,3063607.0,3.32
4442,300185,通裕重工,2.32,1.31,-7914209.0,-7.77,0.0,0.0,-7914209.0,-7.77,1624098.0,1.6,6290111.0,6.18
4443,600419,天润乳业,10.91,-1.53,-7916626.0,-6.95,-3093877.0,-2.72,-4822749.0,-4.24,-1386913.0,-1.22,9303540.0,8.17
4444,002367,康力电梯,6.67,0.6,-7937390.0,-16.78,-1330000.0,-2.81,-6607390.0,-13.97,-1012644.0,-2.14,8950034.0,18.92
4445,688728,格科微,14.13,-0.14,-7943663.0,-10.81,-6862149.0,-9.34,-1081514.0,-1.47,8487410.0,11.55,-543747.0,-0.74
4446,600800,渤海化学,3.12,-4.59,-7948250.0,-2.35,3823388.0,1.13,-11771638.0,-3.49,4069657.0,1.2,3878592.0,1.15
